station,station_name,valid(UTC),tmpf,dwpf,sknt,drct,vis1_coeff,precip
ORD,CHICAGO O HARE,2015-09-30 19:00,60,42,17,33,0.073,0,
DEN,DENVER INTNL ARPT,2015-09-30 19:00,79,43,9,13,0.086,0,
LAX,LOS ANGELES INTL,2015-09-30 20:00,81,65,6,253,0.179,0,
ATL,ATLANTA INTL ARPT,2015-09-30 20:00,83,67,9,284,0.064,0,
DEN,DENVER INTNL ARPT,2015-09-30 20:00,79,37,8,38,0.082,0,
ORD,CHICAGO O HARE,2015-09-30 20:00,60,42,17,33,0.08,0,
DFW,DALLAS/FT WORTH,2015-09-30 20:00,90,60,3,11,0.09,0,
ATL,ATLANTA INTL ARPT,2015-09-30 21:00,82,66,11,298,0.061,0,
DEN,DENVER INTNL ARPT,2015-09-30 21:00,78,37,2,345,0.078,0,
ORD,CHICAGO O HARE,2015-09-30 21:00,58,42,19,31,0.079,0,
DFW,DALLAS/FT WORTH,2015-09-30 21:00,91,58,6,326,0.076,0,
LAX,LOS ANGELES INTL,2015-09-30 21:00,80,62,8,249,0.134,0,
LAX,LOS ANGELES INTL,2015-09-30 22:00,78,62,8,255,0.14,0,
DFW,DALLAS/FT WORTH,2015-09-30 22:00,91,58,10,352,0.075,0,
DEN,DENVER INTNL ARPT,2015-09-30 22:00,78,29,9,17,0.068,0,
ORD,CHICAGO O HARE,2015-09-30 22:00,58,42,15,27,0.081,0,
ATL,ATLANTA INTL ARPT,2015-09-30 22:00,81,65,9,319,0.064,0,
ORD,CHICAGO O HARE,2015-09-30 23:00,56,42,15,33,0.077,0,
ATL,ATLANTA INTL ARPT,2015-09-30 23:00,77,65,8,319,0.072,0,
DEN,DENVER INTNL ARPT,2015-09-30 23:00,77,32,3,9,0.073,0,
LAX,LOS ANGELES INTL,2015-09-30 23:00,78,59,10,265,0.126,0,
DFW,DALLAS/FT WORTH,2015-09-30 23:00,90,56,9,6,0.073,0,
DFW,DALLAS/FT WORTH,2015-10-01 00:00,86,58,9,4,0.091,0,
ORD,CHICAGO O HARE,2015-10-01 00:00,55,43,10,19,0.082,0,
DEN,DENVER INTNL ARPT,2015-10-01 00:00,73,33,3,145,0.083,0,
ATL,ATLANTA INTL ARPT,2015-10-01 00:00,75,66,7,311,0.078,0,
LAX,LOS ANGELES INTL,2015-10-01 00:00,78,60,8,260,0.127,0,
ATL,ATLANTA INTL ARPT,2015-10-01 01:00,73,66,4,299,0.087,0,
DEN,DENVER INTNL ARPT,2015-10-01 01:00,69,42,5,214,0.076,0,
DFW,DALLAS/FT WORTH,2015-10-01 01:00,83,60,8,16,0.097,0,
LAX,LOS ANGELES INTL,2015-10-01 01:00,75,63,8,259,0.138,0,
ORD,CHICAGO O HARE,2015-10-01 01:00,54,44,8,11,0.083,0,
DFW,DALLAS/FT WORTH,2015-10-01 02:00,82,60,10,30,0.102,0,
DEN,DENVER INTNL ARPT,2015-10-01 02:00,66,41,7,209,0.068,0,
ATL,ATLANTA INTL ARPT,2015-10-01 02:00,73,66,10,343,0.067,0,
ORD,CHICAGO O HARE,2015-10-01 02:00,53,45,7,349,0.087,0,
LAX,LOS ANGELES INTL,2015-10-01 02:00,75,60,4,247,0.125,0,
ATL,ATLANTA INTL ARPT,2015-10-01 03:00,71,65,8,328,0.062,0,
DEN,DENVER INTNL ARPT,2015-10-01 03:00,68,42,5,230,0.07,0,
LAX,LOS ANGELES INTL,2015-10-01 03:00,74,62,3,246,0.13,0,
DFW,DALLAS/FT WORTH,2015-10-01 03:00,80,62,8,28,0.111,0,
ORD,CHICAGO O HARE,2015-10-01 03:00,54,45,6,353,0.081,0,
DEN,DENVER INTNL ARPT,2015-10-01 04:00,67,42,2,133,0.07,0,
ORD,CHICAGO O HARE,2015-10-01 04:00,57,44,14,92,0.082,0,
DFW,DALLAS/FT WORTH,2015-10-01 04:00,78,63,10,27,0.113,0,
LAX,LOS ANGELES INTL,2015-10-01 04:00,75,62,4,187,0.132,0,
ATL,ATLANTA INTL ARPT,2015-10-01 04:00,69,64,7,316,0.058,0,
DEN,DENVER INTNL ARPT,2015-10-01 05:00,62,42,9,178,0.067,0,
ORD,CHICAGO O HARE,2015-10-01 05:00,56,43,14,77,0.082,0,
ATL,ATLANTA INTL ARPT,2015-10-01 05:00,68,64,10,331,0.066,0,
LAX,LOS ANGELES INTL,2015-10-01 05:00,74,63,3,192,0.132,0,
DFW,DALLAS/FT WORTH,2015-10-01 05:00,75,62,8,28,0.107,0,
LAX,LOS ANGELES INTL,2015-10-01 06:00,74,63,3,183,0.135,0,
ATL,ATLANTA INTL ARPT,2015-10-01 06:00,68,63,9,332,0.07,0,
ORD,CHICAGO O HARE,2015-10-01 06:00,54,42,16,72,0.078,0,
DEN,DENVER INTNL ARPT,2015-10-01 06:00,63,42,9,195,0.076,0,
DFW,DALLAS/FT WORTH,2015-10-01 06:00,73,61,9,21,0.096,0,
DFW,DALLAS/FT WORTH,2015-10-01 07:00,70,61,10,35,0.099,0,
ATL,ATLANTA INTL ARPT,2015-10-01 07:00,67,63,6,337,0.072,0,
LAX,LOS ANGELES INTL,2015-10-01 07:00,73,63,3,129,0.134,0,
DEN,DENVER INTNL ARPT,2015-10-01 07:00,59,42,5,234,0.086,0,
ORD,CHICAGO O HARE,2015-10-01 07:00,53,41,12,69,0.077,0,
LAX,LOS ANGELES INTL,2015-10-01 08:00,72,62,3,92,0.137,0,
DFW,DALLAS/FT WORTH,2015-10-01 08:00,69,61,6,13,0.117,0,
ORD,CHICAGO O HARE,2015-10-01 08:00,53,41,13,61,0.079,0,
ATL,ATLANTA INTL ARPT,2015-10-01 08:00,67,63,8,330,0.079,0,
DEN,DENVER INTNL ARPT,2015-10-01 08:00,59,44,4,219,0.086,0,
ORD,CHICAGO O HARE,2015-10-01 09:00,52,41,9,52,0.081,0,
LAX,LOS ANGELES INTL,2015-10-01 09:00,70,61,3,107,0.132,0,
ATL,ATLANTA INTL ARPT,2015-10-01 09:00,66,62,8,345,0.078,0,
DFW,DALLAS/FT WORTH,2015-10-01 09:00,68,61,7,29,0.147,0,
DEN,DENVER INTNL ARPT,2015-10-01 09:00,58,45,6,258,0.112,0,
DFW,DALLAS/FT WORTH,2015-10-01 10:00,67,61,5,15,0.157,0,
DEN,DENVER INTNL ARPT,2015-10-01 10:00,57,50,8,261,0.217,0,
ORD,CHICAGO O HARE,2015-10-01 10:00,53,41,11,51,0.076,0,
ATL,ATLANTA INTL ARPT,2015-10-01 10:00,66,62,8,335,0.088,0,
LAX,LOS ANGELES INTL,2015-10-01 10:00,70,65,3,232,0.182,0,
DFW,DALLAS/FT WORTH,2015-10-01 11:00,66,61,5,20,0.167,0,
ATL,ATLANTA INTL ARPT,2015-10-01 11:00,66,62,6,325,0.094,0,
LAX,LOS ANGELES INTL,2015-10-01 11:00,69,64,1,74,0.186,0,
DEN,DENVER INTNL ARPT,2015-10-01 11:00,57,51,5,252,0.28,0,
ORD,CHICAGO O HARE,2015-10-01 11:00,54,42,11,61,0.076,0,
LAX,LOS ANGELES INTL,2015-10-01 12:00,68,63,1,81,0.172,0,
ATL,ATLANTA INTL ARPT,2015-10-01 12:00,66,62,6,345,0.093,0,
DFW,DALLAS/FT WORTH,2015-10-01 12:00,65,60,5,62,0.19,0,
ORD,CHICAGO O HARE,2015-10-01 12:00,54,42,12,57,0.078,0,
DEN,DENVER INTNL ARPT,2015-10-01 12:00,57,51,8,234,0.259,0,
DEN,DENVER INTNL ARPT,2015-10-01 13:00,58,50,3,244,0.218,0,
LAX,LOS ANGELES INTL,2015-10-01 13:00,67,63,5,98,0.177,0,
ORD,CHICAGO O HARE,2015-10-01 13:00,54,43,14,58,0.091,0,
ATL,ATLANTA INTL ARPT,2015-10-01 13:00,68,63,5,341,0.086,0,
DFW,DALLAS/FT WORTH,2015-10-01 13:00,68,62,2,60,0.2,0,
DFW,DALLAS/FT WORTH,2015-10-01 14:00,70,62,8,106,0.191,0,
ATL,ATLANTA INTL ARPT,2015-10-01 14:00,68,63,7,337,0.108,0,
LAX,LOS ANGELES INTL,2015-10-01 14:00,69,64,3,157,0.193,0,
ORD,CHICAGO O HARE,2015-10-01 14:00,56,42,19,67,0.079,0,
DEN,DENVER INTNL ARPT,2015-10-01 14:00,58,51,1,191,0.231,0,
ATL,ATLANTA INTL ARPT,2015-10-01 15:00,70,64,7,17,0.133,0,
DFW,DALLAS/FT WORTH,2015-10-01 15:00,72,62,6,73,0.19,0,
LAX,LOS ANGELES INTL,2015-10-01 15:00,71,66,2,183,0.187,0,
DEN,DENVER INTNL ARPT,2015-10-01 15:00,63,49,3,146,0.142,0,
ORD,CHICAGO O HARE,2015-10-01 15:00,56,42,17,56,0.078,0,
DFW,DALLAS/FT WORTH,2015-10-01 16:00,76,62,11,59,0.158,0,
ORD,CHICAGO O HARE,2015-10-01 16:00,57,42,17,57,0.076,0,
LAX,LOS ANGELES INTL,2015-10-01 16:00,75,66,2,182,0.191,0,
DEN,DENVER INTNL ARPT,2015-10-01 16:00,68,49,2,58,0.137,0,
ATL,ATLANTA INTL ARPT,2015-10-01 16:00,70,65,8,47,0.123,0,
DEN,DENVER INTNL ARPT,2015-10-01 17:00,73,45,7,232,0.087,0,
ORD,CHICAGO O HARE,2015-10-01 17:00,57,42,19,47,0.078,0,
LAX,LOS ANGELES INTL,2015-10-01 17:00,76,60,5,224,0.133,0,
DFW,DALLAS/FT WORTH,2015-10-01 17:00,74,61,10,37,0.158,0,
ATL,ATLANTA INTL ARPT,2015-10-01 17:00,71,64,8,68,0.087,0,
ATL,ATLANTA INTL ARPT,2015-10-01 18:00,70,64,8,39,0.106,0,
LAX,LOS ANGELES INTL,2015-10-01 18:00,78,62,7,230,0.137,0,
DFW,DALLAS/FT WORTH,2015-10-01 18:00,75,63,5,45,0.127,0,
ORD,CHICAGO O HARE,2015-10-01 18:00,57,42,20,49,0.074,0,
DEN,DENVER INTNL ARPT,2015-10-01 18:00,79,44,,,0.092,0,
ATL,ATLANTA INTL ARPT,2015-10-01 19:00,70,64,7,36,0.111,0,
ORD,CHICAGO O HARE,2015-10-01 19:00,60,43,17,50,0.077,0,
DFW,DALLAS/FT WORTH,2015-10-01 19:00,79,60,7,26,0.09,0,
LAX,LOS ANGELES INTL,2015-10-01 19:00,80,63,8,244,0.153,0,
DEN,DENVER INTNL ARPT,2015-10-01 19:00,80,42,4,256,0.076,0,
DFW,DALLAS/FT WORTH,2015-10-01 20:00,79,61,6,2,0.095,0,
ORD,CHICAGO O HARE,2015-10-01 20:00,57,43,22,39,0.08,0,
LAX,LOS ANGELES INTL,2015-10-01 20:00,79,65,13,254,0.14,0,
DEN,DENVER INTNL ARPT,2015-10-01 20:00,84,39,,,0.065,0,
ATL,ATLANTA INTL ARPT,2015-10-01 20:00,71,64,7,53,0.098,0,
ATL,ATLANTA INTL ARPT,2015-10-01 21:00,70,63,10,52,0.108,0,
DEN,DENVER INTNL ARPT,2015-10-01 21:00,83,38,7,94,0.072,0,
LAX,LOS ANGELES INTL,2015-10-01 21:00,77,63,12,265,0.138,0,
ORD,CHICAGO O HARE,2015-10-01 21:00,57,43,19,38,0.083,0,
DFW,DALLAS/FT WORTH,2015-10-01 21:00,78,60,10,360,0.081,0,
ORD,CHICAGO O HARE,2015-10-01 22:00,58,42,18,31,0.085,0,
ATL,ATLANTA INTL ARPT,2015-10-01 22:00,70,63,10,33,0.155,0,
DEN,DENVER INTNL ARPT,2015-10-01 22:00,83,38,8,86,0.067,0,
LAX,LOS ANGELES INTL,2015-10-01 22:00,78,59,12,254,0.12,0,
DFW,DALLAS/FT WORTH,2015-10-01 22:00,77,59,9,14,0.082,0,
ORD,CHICAGO O HARE,2015-10-01 23:00,56,43,13,30,0.082,0,
DFW,DALLAS/FT WORTH,2015-10-01 23:00,77,60,10,38,0.085,0,
ATL,ATLANTA INTL ARPT,2015-10-01 23:00,69,63,8,53,0.11,0,
LAX,LOS ANGELES INTL,2015-10-01 23:00,78,59,13,258,0.12,0,
DEN,DENVER INTNL ARPT,2015-10-01 23:00,81,39,11,73,0.068,0,
DFW,DALLAS/FT WORTH,2015-10-02 00:00,75,60,11,12,0.081,0,
DEN,DENVER INTNL ARPT,2015-10-02 00:00,79,46,9,127,0.103,0,
LAX,LOS ANGELES INTL,2015-10-02 00:00,77,62,9,236,0.135,0,
ORD,CHICAGO O HARE,2015-10-02 00:00,55,44,13,23,0.08,0,
ATL,ATLANTA INTL ARPT,2015-10-02 00:00,68,64,10,35,0.309,0,
DFW,DALLAS/FT WORTH,2015-10-02 01:00,72,59,8,29,0.081,0,
ORD,CHICAGO O HARE,2015-10-02 01:00,55,44,10,25,0.08,0,
ATL,ATLANTA INTL ARPT,2015-10-02 01:00,67,64,8,29,0.285,0,
DEN,DENVER INTNL ARPT,2015-10-02 01:00,74,50,16,156,0.093,0,
LAX,LOS ANGELES INTL,2015-10-02 01:00,75,63,13,241,0.134,0,
DFW,DALLAS/FT WORTH,2015-10-02 02:00,71,59,8,38,0.077,0,
ORD,CHICAGO O HARE,2015-10-02 02:00,56,41,12,50,0.079,0,
DEN,DENVER INTNL ARPT,2015-10-02 02:00,68,49,13,148,0.097,0,
LAX,LOS ANGELES INTL,2015-10-02 02:00,74,63,11,246,0.302,0,
ATL,ATLANTA INTL ARPT,2015-10-02 02:00,67,64,8,35,0.664,0,
ATL,ATLANTA INTL ARPT,2015-10-02 03:00,67,64,7,40,1.085,0,
DFW,DALLAS/FT WORTH,2015-10-02 03:00,69,57,8,14,0.065,0,
LAX,LOS ANGELES INTL,2015-10-02 03:00,74,62,12,256,0.115,0,
DEN,DENVER INTNL ARPT,2015-10-02 03:00,66,50,14,160,0.101,0,
ORD,CHICAGO O HARE,2015-10-02 03:00,56,41,15,63,0.082,0,
DEN,DENVER INTNL ARPT,2015-10-02 04:00,66,51,15,167,0.103,0,
ATL,ATLANTA INTL ARPT,2015-10-02 04:00,66,64,8,34,1.667,0,
DFW,DALLAS/FT WORTH,2015-10-02 04:00,67,59,5,11,0.082,0,
LAX,LOS ANGELES INTL,2015-10-02 04:00,73,63,11,266,0.132,0,
ORD,CHICAGO O HARE,2015-10-02 04:00,54,41,17,74,0.083,0,
DFW,DALLAS/FT WORTH,2015-10-02 05:00,68,60,10,20,0.087,0,
DEN,DENVER INTNL ARPT,2015-10-02 05:00,67,51,17,195,0.107,0,
ORD,CHICAGO O HARE,2015-10-02 05:00,53,41,23,60,0.08,0,
LAX,LOS ANGELES INTL,2015-10-02 05:00,72,64,10,255,0.152,0,
ATL,ATLANTA INTL ARPT,2015-10-02 05:00,66,63,9,42,0.695,0,
ATL,ATLANTA INTL ARPT,2015-10-02 06:00,65,63,8,60,0.659,0,
DFW,DALLAS/FT WORTH,2015-10-02 06:00,67,57,11,23,0.075,0,
DEN,DENVER INTNL ARPT,2015-10-02 06:00,65,53,16,172,0.127,0,
LAX,LOS ANGELES INTL,2015-10-02 06:00,72,64,17,264,0.153,0,
ORD,CHICAGO O HARE,2015-10-02 06:00,52,42,15,66,0.079,0,
ORD,CHICAGO O HARE,2015-10-02 07:00,52,42,15,62,0.079,0,
DFW,DALLAS/FT WORTH,2015-10-02 07:00,66,55,10,24,0.075,0,
DEN,DENVER INTNL ARPT,2015-10-02 07:00,62,52,14,152,0.137,0,
LAX,LOS ANGELES INTL,2015-10-02 07:00,70,64,10,254,0.16,0,
ATL,ATLANTA INTL ARPT,2015-10-02 07:00,64,62,9,82,0.718,0,
ORD,CHICAGO O HARE,2015-10-02 08:00,52,42,12,62,0.08,0,
LAX,LOS ANGELES INTL,2015-10-02 08:00,70,64,13,265,0.154,0,
DFW,DALLAS/FT WORTH,2015-10-02 08:00,65,53,10,24,0.071,0,
ATL,ATLANTA INTL ARPT,2015-10-02 08:00,64,60,13,57,0.057,0,
DEN,DENVER INTNL ARPT,2015-10-02 08:00,60,53,17,161,0.135,0,
ORD,CHICAGO O HARE,2015-10-02 09:00,52,41,14,60,0.08,0,
LAX,LOS ANGELES INTL,2015-10-02 09:00,70,64,7,290,0.149,0,
ATL,ATLANTA INTL ARPT,2015-10-02 09:00,63,59,12,55,0.065,0,
DEN,DENVER INTNL ARPT,2015-10-02 09:00,60,53,9,228,0.108,0,
DFW,DALLAS/FT WORTH,2015-10-02 09:00,63,51,6,36,0.068,0,
ATL,ATLANTA INTL ARPT,2015-10-02 10:00,62,58,16,65,0.195,0,
ORD,CHICAGO O HARE,2015-10-02 10:00,53,39,15,62,0.081,0,
DEN,DENVER INTNL ARPT,2015-10-02 10:00,56,52,4,245,0.265,0,
DFW,DALLAS/FT WORTH,2015-10-02 10:00,61,50,7,23,0.071,0,
ATL,ATLANTA INTL ARPT,2015-10-02 11:00,61,57,13,59,0.056,0,
ORD,CHICAGO O HARE,2015-10-02 11:00,52,39,14,61,0.078,0,
LAX,LOS ANGELES INTL,2015-10-02 11:00,69,63,1,50,0.167,0,
DFW,DALLAS/FT WORTH,2015-10-02 11:00,59,49,6,18,0.073,0,
DEN,DENVER INTNL ARPT,2015-10-02 11:00,54,52,4,276,0.542,0,
ORD,CHICAGO O HARE,2015-10-02 12:00,52,41,11,54,0.079,0,
LAX,LOS ANGELES INTL,2015-10-02 12:00,68,63,4,58,0.167,0,
ATL,ATLANTA INTL ARPT,2015-10-02 12:00,60,56,14,68,0.073,0,
DEN,DENVER INTNL ARPT,2015-10-02 12:00,54,53,4,276,10.05,0,
DFW,DALLAS/FT WORTH,2015-10-02 12:00,58,48,6,20,0.054,0,
DFW,DALLAS/FT WORTH,2015-10-02 13:00,60,48,7,4,0.054,0,
DEN,DENVER INTNL ARPT,2015-10-02 13:00,54,52,2,252,1.126,0,
LAX,LOS ANGELES INTL,2015-10-02 13:00,68,63,4,27,0.162,0,
ATL,ATLANTA INTL ARPT,2015-10-02 13:00,61,57,9,63,1.352,0,
ORD,CHICAGO O HARE,2015-10-02 13:00,54,43,12,61,0.076,0,
ATL,ATLANTA INTL ARPT,2015-10-02 14:00,61,57,13,65,0.235,0,
DEN,DENVER INTNL ARPT,2015-10-02 14:00,54,53,5,140,1.163,0,
ORD,CHICAGO O HARE,2015-10-02 14:00,54,40,19,52,0.083,0,
DFW,DALLAS/FT WORTH,2015-10-02 14:00,64,47,6,40,0.067,0,
LAX,LOS ANGELES INTL,2015-10-02 14:00,68,63,4,79,0.175,0,
LAX,LOS ANGELES INTL,2015-10-02 15:00,69,63,5,109,0.177,0,
DFW,DALLAS/FT WORTH,2015-10-02 15:00,68,47,,,0.073,0,
ORD,CHICAGO O HARE,2015-10-02 15:00,56,41,17,51,0.079,0,
ATL,ATLANTA INTL ARPT,2015-10-02 15:00,60,57,14,52,0.735,0,
DEN,DENVER INTNL ARPT,2015-10-02 15:00,60,53,2,180,0.203,0,
DFW,DALLAS/FT WORTH,2015-10-02 16:00,71,47,5,43,0.071,0,
ATL,ATLANTA INTL ARPT,2015-10-02 16:00,62,56,13,61,0.061,0,
DEN,DENVER INTNL ARPT,2015-10-02 16:00,64,52,5,243,0.151,0,
ORD,CHICAGO O HARE,2015-10-02 16:00,57,41,22,53,0.076,0,
LAX,LOS ANGELES INTL,2015-10-02 16:00,73,62,5,94,0.148,0,
ORD,CHICAGO O HARE,2015-10-02 17:00,58,41,17,54,0.075,0,
DFW,DALLAS/FT WORTH,2015-10-02 17:00,73,47,6,350,0.074,0,
LAX,LOS ANGELES INTL,2015-10-02 17:00,76,61,3,41,0.126,0,
DEN,DENVER INTNL ARPT,2015-10-02 17:00,68,52,5,254,0.112,0,
ATL,ATLANTA INTL ARPT,2015-10-02 17:00,62,57,13,39,0.401,0,
DFW,DALLAS/FT WORTH,2015-10-02 18:00,74,45,10,7,0.057,0,
ORD,CHICAGO O HARE,2015-10-02 18:00,58,42,21,46,0.065,0,
ATL,ATLANTA INTL ARPT,2015-10-02 18:00,63,56,12,41,0.111,0,
DEN,DENVER INTNL ARPT,2015-10-02 18:00,72,51,4,304,0.098,0,
LAX,LOS ANGELES INTL,2015-10-02 18:00,80,57,5,61,0.12,0,
LAX,LOS ANGELES INTL,2015-10-02 19:00,77,65,12,246,0.146,0,
DFW,DALLAS/FT WORTH,2015-10-02 19:00,76,43,14,27,0.052,0,
ATL,ATLANTA INTL ARPT,2015-10-02 19:00,63,57,13,25,0.097,0,
DEN,DENVER INTNL ARPT,2015-10-02 19:00,72,52,8,328,0.12,0,
ORD,CHICAGO O HARE,2015-10-02 19:00,58,41,18,48,0.079,0,
DFW,DALLAS/FT WORTH,2015-10-02 20:00,78,45,8,11,0.051,0,
DEN,DENVER INTNL ARPT,2015-10-02 20:00,75,52,6,321,0.108,0,
LAX,LOS ANGELES INTL,2015-10-02 20:00,76,65,13,246,0.134,0,
ORD,CHICAGO O HARE,2015-10-02 20:00,60,42,21,39,0.083,0,
ATL,ATLANTA INTL ARPT,2015-10-02 20:00,64,55,13,48,0.052,0,
LAX,LOS ANGELES INTL,2015-10-02 21:00,78,59,14,268,0.116,0,
DEN,DENVER INTNL ARPT,2015-10-02 21:00,76,52,15,304,0.134,0,
ATL,ATLANTA INTL ARPT,2015-10-02 21:00,63,57,10,49,0.287,0,
ORD,CHICAGO O HARE,2015-10-02 21:00,60,41,20,42,0.085,0,
DFW,DALLAS/FT WORTH,2015-10-02 21:00,80,43,14,344,0.053,0,
DEN,DENVER INTNL ARPT,2015-10-02 22:00,75,52,12,276,0.173,0,
LAX,LOS ANGELES INTL,2015-10-02 22:00,76,63,14,250,0.106,0,
ORD,CHICAGO O HARE,2015-10-02 22:00,58,44,17,41,0.077,0,
ATL,ATLANTA INTL ARPT,2015-10-02 22:00,62,58,11,47,0.306,0,
DFW,DALLAS/FT WORTH,2015-10-02 22:00,80,41,12,4,0.054,0,
DFW,DALLAS/FT WORTH,2015-10-02 23:00,79,40,11,8,0.05,0,
ORD,CHICAGO O HARE,2015-10-02 23:00,57,47,17,33,0.079,0,
DEN,DENVER INTNL ARPT,2015-10-02 23:00,70,50,24,185,0.127,0,
LAX,LOS ANGELES INTL,2015-10-02 23:00,76,62,12,226,0.278,0,
DEN,DENVER INTNL ARPT,2015-10-03 00:00,67,50,19,184,0.129,0,
LAX,LOS ANGELES INTL,2015-10-03 00:00,76,59,11,228,0.114,0,
ORD,CHICAGO O HARE,2015-10-03 00:00,58,40,15,41,0.084,0,
DFW,DALLAS/FT WORTH,2015-10-03 00:00,75,40,11,3,0.057,0,
DFW,DALLAS/FT WORTH,2015-10-03 01:00,70,40,9,23,0.056,0,
ORD,CHICAGO O HARE,2015-10-03 01:00,57,41,17,56,0.082,0,
LAX,LOS ANGELES INTL,2015-10-03 01:00,75,61,9,237,0.126,0,
DEN,DENVER INTNL ARPT,2015-10-03 01:00,60,51,12,288,0.153,0,
ORD,CHICAGO O HARE,2015-10-03 02:00,56,39,15,64,0.081,0,
DFW,DALLAS/FT WORTH,2015-10-03 02:00,70,42,9,29,0.056,0,
LAX,LOS ANGELES INTL,2015-10-03 02:00,73,62,12,246,0.127,0,
DEN,DENVER INTNL ARPT,2015-10-03 02:00,59,50,5,314,0.147,0,
DEN,DENVER INTNL ARPT,2015-10-03 03:00,58,50,4,167,0.15,0,
DFW,DALLAS/FT WORTH,2015-10-03 03:00,67,42,8,31,0.057,0,
ORD,CHICAGO O HARE,2015-10-03 03:00,54,39,18,71,0.084,0,
LAX,LOS ANGELES INTL,2015-10-03 03:00,72,64,7,255,0.176,0,
LAX,LOS ANGELES INTL,2015-10-03 04:00,71,64,13,254,0.184,0,
DFW,DALLAS/FT WORTH,2015-10-03 04:00,66,40,9,39,0.055,0,
ORD,CHICAGO O HARE,2015-10-03 04:00,53,39,21,70,0.083,0,
DEN,DENVER INTNL ARPT,2015-10-03 04:00,56,49,8,308,0.151,0,
DEN,DENVER INTNL ARPT,2015-10-03 05:00,54,47,5,354,0.137,0,
DFW,DALLAS/FT WORTH,2015-10-03 05:00,63,42,5,33,0.06,0,
ORD,CHICAGO O HARE,2015-10-03 05:00,52,38,18,69,0.084,0,
LAX,LOS ANGELES INTL,2015-10-03 05:00,70,65,3,238,0.198,0,
DFW,DALLAS/FT WORTH,2015-10-03 06:00,61,43,6,21,0.06,0,
ORD,CHICAGO O HARE,2015-10-03 06:00,51,37,15,64,0.081,0,
DEN,DENVER INTNL ARPT,2015-10-03 06:00,53,46,11,299,0.136,0,
LAX,LOS ANGELES INTL,2015-10-03 06:00,70,64,3,139,0.176,0,
LAX,LOS ANGELES INTL,2015-10-03 07:00,70,63,3,136,0.172,0,
ORD,CHICAGO O HARE,2015-10-03 07:00,51,37,14,65,0.08,0,
DFW,DALLAS/FT WORTH,2015-10-03 07:00,59,43,6,23,0.066,0,
DEN,DENVER INTNL ARPT,2015-10-03 07:00,51,45,12,285,0.132,0,
LAX,LOS ANGELES INTL,2015-10-03 08:00,69,62,3,93,0.169,0,
DFW,DALLAS/FT WORTH,2015-10-03 08:00,57,44,7,20,0.069,0,
ORD,CHICAGO O HARE,2015-10-03 08:00,51,37,16,64,0.082,0,
DEN,DENVER INTNL ARPT,2015-10-03 08:00,50,44,11,306,0.128,0,
DEN,DENVER INTNL ARPT,2015-10-03 09:00,49,45,6,321,1.304,0,
LAX,LOS ANGELES INTL,2015-10-03 09:00,68,63,4,87,0.172,0,
ATL,ATLANTA INTL ARPT,2015-10-03 09:00,57,55,7,43,0.248,0,
ORD,CHICAGO O HARE,2015-10-03 09:00,51,37,13,66,0.078,0,
DFW,DALLAS/FT WORTH,2015-10-03 09:00,58,44,5,9,0.063,0,
ORD,CHICAGO O HARE,2015-10-03 10:00,51,38,13,65,0.082,0,
ATL,ATLANTA INTL ARPT,2015-10-03 10:00,58,55,9,37,0.779,0.01,
DFW,DALLAS/FT WORTH,2015-10-03 10:00,57,45,5,356,0.067,0,
LAX,LOS ANGELES INTL,2015-10-03 10:00,68,63,4,61,0.177,0,
DEN,DENVER INTNL ARPT,2015-10-03 10:00,48,45,11,253,0.195,0,
DFW,DALLAS/FT WORTH,2015-10-03 11:00,56,45,5,43,0.074,0,
ATL,ATLANTA INTL ARPT,2015-10-03 11:00,58,56,8,34,0.146,0,
ORD,CHICAGO O HARE,2015-10-03 11:00,50,38,16,58,0.081,0,
LAX,LOS ANGELES INTL,2015-10-03 11:00,66,62,3,78,0.174,0,
DEN,DENVER INTNL ARPT,2015-10-03 11:00,48,45,7,262,0.185,0,
LAX,LOS ANGELES INTL,2015-10-03 12:00,66,62,3,97,0.173,0,
DFW,DALLAS/FT WORTH,2015-10-03 12:00,55,45,5,31,0.074,0,
DEN,DENVER INTNL ARPT,2015-10-03 12:00,48,45,10,282,0.205,0,
ORD,CHICAGO O HARE,2015-10-03 12:00,50,39,13,61,0.096,0,
ATL,ATLANTA INTL ARPT,2015-10-03 12:00,59,55,8,37,0.057,0,
DFW,DALLAS/FT WORTH,2015-10-03 13:00,58,47,5,36,0.081,0,
ORD,CHICAGO O HARE,2015-10-03 13:00,50,39,15,55,0.101,0,
LAX,LOS ANGELES INTL,2015-10-03 13:00,66,61,3,84,0.161,0,
DEN,DENVER INTNL ARPT,2015-10-03 13:00,47,44,8,302,0.177,0,
ATL,ATLANTA INTL ARPT,2015-10-03 13:00,60,56,9,44,0.696,0,
LAX,LOS ANGELES INTL,2015-10-03 14:00,67,60,4,105,0.154,0,
ATL,ATLANTA INTL ARPT,2015-10-03 14:00,61,57,12,23,0.352,0,
ORD,CHICAGO O HARE,2015-10-03 14:00,51,39,19,63,0.078,0,
DEN,DENVER INTNL ARPT,2015-10-03 14:00,47,43,3,327,0.157,0,
DFW,DALLAS/FT WORTH,2015-10-03 14:00,63,47,6,66,0.087,0,
DFW,DALLAS/FT WORTH,2015-10-03 15:00,66,47,7,102,0.076,0,
DEN,DENVER INTNL ARPT,2015-10-03 15:00,47,43,6,15,0.22,0,
